City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cidreira,-30.1811,-50.2056,72.64,83,2,4.92,BR,1645582754
Haapsalu,58.9431,23.5414,26.02,83,89,5.66,EE,1645582754
Beringovskiy,63.05,179.3167,-5.37,97,100,13.35,RU,1645582755
Perth,-31.9333,115.8333,83.17,52,0,18.41,AU,1645582682
Topolobampo,25.6,-109.05,66.11,52,75,8.05,MX,1645582755
Buraidah,26.326,43.975,50.45,25,0,8.84,SA,1645582756
Chiang Khong,20.2613,100.4046,70.12,91,100,2.48,TH,1645582756
Samarai,-10.6167,150.6667,84.54,73,100,5.68,PG,1645582757
Yar-Sale,66.8333,70.8333,-8.77,99,74,7.02,RU,1645582757
Russell,32.3502,-85.1999,69.51,92,7,5.91,US,1645582757
Turukhansk,65.8167,87.9833,16.92,95,100,14.32,RU,1645582514
Camacha,33.0833,-16.3333,63.36,72,40,20.71,PT,1645582520
Thunder Bay,48.4001,-89.3168,3.29,70,100,8.05,CA,1645582656
Varhaug,58.6147,5.6457,42.35,81,23,21.83,NO,1645582758
Soyo,-6.1349,12.3689,79.5,86,100,4.16,AO,1645582758
Khasan,42.4308,130.6434,18.09,44,43,21.74,RU,1645582759
Leh,34.1667,77.5833,19.2,93,100,2.3,IN,1645582759
Dzilam González,21.2833,-88.9333,78.49,68,0,9.75,MX,1645582760
Zvishavane,-20.3267,30.0665,64.49,75,2,5.64,ZW,1645582760
Paragominas,-2.9667,-47.4833,72.39,99,100,3.24,BR,1645582760
Partizanskoye,55.5006,94.39,18.3,87,100,3.42,RU,1645582761
Talnakh,69.4865,88.3972,15.21,96,100,7.92,RU,1645582761
Lompoc,34.6391,-120.4579,50.41,68,75,9.22,US,1645582446
Ipojuca,-8.3989,-35.0639,82.31,79,10,4.36,BR,1645582761
Rjukan,59.8789,8.5941,22.44,91,91,6.85,NO,1645582762
Barreiras,-12.1528,-44.99,70.86,83,7,2.46,BR,1645582762
Tafo,6.7345,-1.6127,74.59,89,13,4.41,GH,1645582763
Tagkawayan,13.9657,122.5394,82.65,70,100,9.44,PH,1645582763
Copiapó,-27.3667,-70.3333,64.58,69,0,3.2,CL,1645582763
Cuiluan,47.72,128.648,6.22,73,26,12.53,CN,1645582764
Arandis,-22.4167,14.9667,59.47,61,33,1.48,NA,1645582764
Puerto Madero,14.7208,-92.4215,77.2,73,20,0.0,MX,1645582765
Shingū,33.7333,135.9833,45.59,36,70,12.44,JP,1645582548
Fulton,33.7668,-84.4499,65.5,80,0,3.44,US,1645582519
Moose Jaw,50.4001,-105.5344,-9.71,77,20,9.22,CA,1645582579
Boyolangu,-8.1181,111.8935,83.1,70,17,6.26,ID,1645582765
Whitianga,-36.8333,175.7,74.23,64,100,8.21,NZ,1645582766
Hannoversch Münden,51.4151,9.6505,44.01,83,51,15.01,DE,1645582766
Lucea,18.451,-78.1736,76.86,76,4,8.88,JM,1645582767
Carora,10.1755,-70.0827,75.78,61,55,9.91,VE,1645582767
Namatanai,-3.6667,152.4333,81.75,79,100,7.25,PG,1645582767
Kloulklubed,7.0419,134.2556,86.5,75,100,17.47,PW,1645582768
Mumford,5.2618,-0.759,79.21,89,73,6.82,GH,1645582768
Dibai,28.2167,78.25,55.09,70,2,10.07,IN,1645582768
Sakakah,29.9697,40.2064,54.97,33,75,5.7,SA,1645582769
Gopālpur,19.2667,84.9167,72.91,85,5,4.7,IN,1645582769
Avera,33.194,-82.5271,71.47,74,9,7.0,US,1645582554
Tolaga Bay,-38.3667,178.3,68.97,71,69,15.26,NZ,1645582769
Pucallpa,-8.3791,-74.5539,75.24,100,75,2.3,PE,1645582770
Tateyama,34.9833,139.8667,46.67,44,81,6.62,JP,1645582770
Bathsheba,13.2167,-59.5167,77.61,78,40,12.66,BB,1645582499
Kassala,15.451,36.4,72.27,54,11,5.97,SD,1645582770
Churapcha,62.0025,132.4325,-12.57,93,72,1.97,RU,1645582771
Yei,4.095,30.6779,69.13,30,64,1.25,SS,1645582771
Yangi Marg`ilon,40.4272,71.7189,43.52,52,100,0.0,UZ,1645582504
Geraldton,-28.7667,114.6,81.01,57,0,14.97,AU,1645582547
Chittūr,10.7,76.75,78.35,67,77,9.66,IN,1645582772
Am Timan,11.0297,20.2827,73.13,15,2,6.85,TD,1645582772
Meadow Lake,34.8014,-106.5436,54.28,19,0,15.46,US,1645582773
Mahanje,-9.9333,35.3333,64.98,99,100,0.78,TZ,1645582773
Road Town,18.4167,-64.6167,75.99,70,48,17.76,VG,1645582556
Terrace,54.5163,-128.6035,26.51,39,100,6.91,CA,1645582774
Bogorodskoye,56.55,37.8833,33.1,95,100,11.27,RU,1645582774
Isangel,-19.55,169.2667,89.71,62,40,5.75,VU,1645582774
Encruzilhada do Sul,-30.5439,-52.5219,63.3,86,0,5.66,BR,1645582775
Kashgar,39.4547,75.9797,27.61,54,81,4.47,CN,1645582775
Ñuñoa,-14.48,-70.6411,44.53,82,95,3.8,PE,1645582775
Kurchum,48.5722,83.6542,4.23,89,100,0.11,KZ,1645582776
Batemans Bay,-35.7167,150.1833,78.98,89,100,2.53,AU,1645582776
Mashhad,36.297,59.6062,39.34,87,0,0.0,IR,1645582646
Iranshahr,27.2025,60.6848,57.54,35,25,4.61,IR,1645582776
Ust'-Uda,54.1742,103.0304,2.95,98,96,3.53,RU,1645582777
Sungai Raya,0.7,108.9,82.04,76,100,2.62,ID,1645582777
Pak Phanang,8.3511,100.202,86.02,77,59,8.93,TH,1645582778
Phan Thiet,10.9333,108.1,83.75,55,30,5.91,VN,1645582554
Townsville,-19.25,146.8,86.88,62,100,10.36,AU,1645582778
Barcelos,41.5388,-8.6151,57.69,58,93,5.12,PT,1645582778
Filoti,37.05,25.5,51.55,75,81,4.0,GR,1645582779
Gizo Government Station,-8.103,156.8419,83.46,71,84,2.24,SB,1645582779
Kiryat Gat,31.61,34.7642,58.41,57,68,3.31,IL,1645582393
Kyakhta,50.3508,106.4494,-2.04,95,53,3.76,RU,1645582779
Dingle,10.9995,122.6711,81.27,74,100,13.53,PH,1645582550
Surakarta,-7.5561,110.8317,82.9,69,9,6.24,ID,1645582505
Enshi,30.3,109.4833,39.58,76,95,0.6,CN,1645582780
Ulaangom,49.9811,92.0667,-14.82,96,97,1.52,MN,1645582780
Chunskiy,56.0815,99.6342,11.7,93,96,2.51,RU,1645582781
Rubtsovsk,51.5,81.25,22.75,95,100,13.6,RU,1645582781
Buritis,-15.6178,-46.4233,70.7,92,89,0.81,BR,1645582781
Oxapampa,-10.5775,-75.4017,58.89,98,62,1.83,PE,1645582782
Arman',59.7,150.1667,6.89,69,0,8.81,RU,1645582782
Gamba,-2.65,10.0,77.67,87,100,2.91,GA,1645582782
Fairbanks,64.8378,-147.7164,26.56,85,100,4.61,US,1645582783
Narasannapeta,18.4167,84.05,74.86,82,6,4.72,IN,1645582783
Lagunas,-5.2269,-75.6753,72.41,98,100,2.46,PE,1645582783
Luang Prabang,19.8856,102.1347,58.96,82,100,6.91,LA,1645582784
Kultayevo,57.8943,55.9392,33.78,86,75,13.42,RU,1645582784
Iracoubo,5.4802,-53.2011,76.19,92,100,8.81,GF,1645582784
Guarapari,-20.6667,-40.4975,78.69,91,100,8.39,BR,1645582785
Vanimo,-2.6741,141.3028,79.66,85,100,5.3,PG,1645582785
Dedza,-14.3779,34.3332,57.07,97,100,2.35,MW,1645582785
Altamira,-3.2033,-52.2064,72.84,99,100,2.26,BR,1645582786
Kyra,49.5776,111.9753,7.41,87,26,2.66,RU,1645582786
Stromness,58.965,-3.296,39.45,82,99,38.36,GB,1645582786
Mahibadhoo,3.7833,72.9667,81.7,70,2,7.02,MV,1645582786
Balgarovo,42.6214,27.3046,46.09,93,100,8.05,BG,1645582787
San Patricio,28.017,-97.5169,74.08,82,0,9.37,US,1645582787
Bharatpur,27.2167,77.4833,57.25,52,0,6.85,IN,1645582787
Rafaela,-31.2503,-61.4867,73.98,48,0,3.0,AR,1645582788
Cockburn Town,21.4612,-71.1419,77.16,71,1,20.67,TC,1645582788
Quatre Cocos,-20.2078,57.7625,79.09,89,100,8.1,MU,1645582788
Zambezi,-13.5432,23.1047,63.82,98,100,3.29,ZM,1645582789
Khani,41.9563,42.9566,44.17,79,100,7.63,GE,1645582789
Fort Nelson,58.8053,-122.7002,8.19,78,100,2.3,CA,1645582577
Nabire,-3.3667,135.4833,84.0,66,100,2.28,ID,1645582790
Vila Franca do Campo,37.7167,-25.4333,60.19,78,100,9.01,PT,1645582790
Halifax,44.6453,-63.5724,36.21,96,100,16.11,CA,1645582509
Makkah al Mukarramah,21.4267,39.8261,69.31,79,95,0.96,SA,1645582501
Batagay-Alyta,67.8006,130.4114,-10.19,87,34,2.73,RU,1645582564
Sagaing,21.8787,95.9797,69.06,32,0,2.15,MM,1645582791
Suzun,53.7841,82.3116,24.12,96,100,6.53,RU,1645582791
Saint-François,46.4154,3.9054,48.47,89,100,2.3,FR,1645582568
Janakkala,60.9,24.6,7.48,98,99,2.17,FI,1645582792
Pemba,-12.974,40.5178,73.15,86,100,3.0,MZ,1645582792
San Quintín,30.4833,-115.95,56.43,68,93,11.23,MX,1645582793
Cividale del Friuli,46.0931,13.4275,40.69,76,10,4.23,IT,1645582793
Taicheng,38.731,113.228,20.39,40,0,3.42,CN,1645582793
Aripuanã,-9.1667,-60.6333,73.2,98,100,1.05,BR,1645582794
Foindu,7.4108,-11.5422,75.81,93,3,0.89,SL,1645582794
Priargunsk,50.3691,119.1012,-10.1,96,85,3.56,RU,1645582794
Acarí,-15.4311,-74.6158,73.24,87,92,5.28,PE,1645582794
Mokhsogollokh,61.4681,128.9203,-0.89,95,97,1.39,RU,1645582795
Hamilton,39.1834,-84.5333,60.98,93,100,13.8,US,1645582714
Bac Lieu,9.285,105.7244,82.47,63,97,11.92,VN,1645582795
Gijang,35.2442,129.2139,31.73,20,100,4.27,KR,1645582796
Hasaki,35.7333,140.8333,46.29,36,62,9.17,JP,1645582505
Santa Isabel Rio Negro,-0.4139,-65.0192,74.7,96,100,2.08,BR,1645582796
Vestmanna,62.1564,-7.1664,32.92,93,75,5.75,FO,1645582796
Guymon,36.6828,-101.4816,16.34,32,0,16.04,US,1645582797
Lahad Datu,5.0268,118.327,83.05,67,30,1.79,MY,1645582797
Buchanan,5.8808,-10.0467,78.84,91,99,7.0,LR,1645582798
Bensonville,6.4461,-10.6125,76.32,96,60,3.53,LR,1645582799
Naryan-Mar,67.6713,53.087,9.37,96,100,6.42,RU,1645582799
Bonavista,48.6499,-53.1147,12.2,54,66,5.35,CA,1645582799
Manzhouli,49.6,117.4333,6.98,89,34,3.98,CN,1645582800
Guanambi,-14.2233,-42.7814,71.22,77,39,4.56,BR,1645582800
Pandan,14.0453,124.1694,81.57,74,100,14.5,PH,1645582801
Okitipupa,6.5047,4.7839,75.09,98,8,0.58,NG,1645582801
Tacoronte,28.4769,-16.4102,60.8,58,0,4.61,ES,1645582802
Tezu,27.9167,96.1667,63.54,39,91,0.85,IN,1645582802
Kongolo,-5.3833,27.0,69.84,97,100,2.53,CD,1645582803
Caravelas,-17.7125,-39.2481,75.99,87,0,4.79,BR,1645582564
Berlevåg,70.8578,29.0864,22.28,68,68,12.26,NO,1645582803
Mahon,39.8885,4.2658,54.16,66,0,16.11,ES,1645582804
Zinder,13.8072,8.9881,63.81,10,99,9.13,NE,1645582804
Gainesville,29.6516,-82.3248,71.1,69,0,5.75,US,1645582537
Green River,41.5286,-109.4662,6.15,59,98,13.0,US,1645582805
Ribeira Brava,32.65,-17.0667,66.83,79,40,8.84,PT,1645582805
Ofakim,31.3141,34.6203,53.74,55,85,6.44,IL,1645582806
Cumbernauld,55.9469,-3.9905,43.03,84,97,20.56,GB,1645582806
Huanren,41.2647,125.3667,11.41,60,3,2.73,CN,1645582807
Emet,39.343,29.2585,43.07,86,100,4.09,TR,1645582807
St. George's,12.0564,-61.7485,80.28,78,75,9.22,GD,1645582807
Matara,5.9485,80.5353,75.54,87,24,6.11,LK,1645582808
Porto-Novo,6.4965,2.6036,79.0,87,9,6.46,BJ,1645582808
Ondjiva,-17.0667,15.7333,67.17,91,96,3.71,AO,1645582809
Belsand,26.45,85.4,59.45,58,1,5.75,IN,1645582809
Hudiksvall,61.729,17.1036,19.11,91,100,5.06,SE,1645582811
Severodvinsk,64.5635,39.8302,14.11,95,100,5.55,RU,1645582811
Almaznyy,48.0448,40.045,42.94,85,100,7.23,RU,1645582811
Canutama,-6.5339,-64.3831,70.9,99,99,1.66,BR,1645582812
